t_rel_to_onset,rms_db,stereo_width,low_mid_ratio
-3.0,-16.68,0.393,0.5115
-2.75,-16.87,0.2743,0.1074
-2.5,-14.52,0.1167,0.1475
-2.25,-17.19,0.2794,0.0901
-2.0,-17.08,0.252,0.0728
-1.75,-16.38,0.2566,0.2068
-1.5,-17.0,0.459,0.0762
-1.25,-15.66,0.2868,0.0947
-1.0,-17.06,0.2608,0.0238
-0.75,-15.08,0.2422,0.1487
-0.5,-16.11,0.64,0.1774
-0.25,-15.9,0.3666,0.0834
0.0,-15.0,0.3116,0.0216
0.25,-15.29,0.2898,0.1138
0.5,-14.99,0.2724,0.1608
0.75,-14.78,0.3345,0.3116
1.0,-13.67,0.2332,0.1005
1.25,-16.95,0.4588,0.5092
1.5,-18.31,0.3624,0.3497
1.75,-18.14,0.3902,0.1562
2.0,-18.17,0.4889,0.3748
2.25,-18.26,0.3507,0.3763
2.5,-19.35,0.5235,0.2208
2.75,-19.76,0.3875,0.2297
