t_rel_to_onset,rms_db,stereo_width,low_mid_ratio
-3.0,-17.06,0.6614,0.1596
-2.75,-17.3,0.5225,0.1016
-2.5,-15.22,0.2174,0.1188
-2.25,-15.21,0.3962,0.11
-2.0,-15.95,0.3574,0.1446
-1.75,-15.74,0.3066,0.1152
-1.5,-15.36,0.214,0.4469
-1.25,-16.1,0.2533,0.349
-1.0,-14.17,0.1422,0.0642
-0.75,-15.43,0.2149,0.6138
-0.5,-16.07,0.1289,0.0516
-0.25,-16.91,0.2007,0.6518
0.0,-17.86,0.3237,0.1693
0.25,-16.01,0.218,0.4797
0.5,-17.38,0.4035,0.3037
0.75,-17.34,0.4035,0.1268
1.0,-17.62,0.3026,0.2091
1.25,-14.56,0.143,0.0199
1.5,-17.26,0.2931,0.0894
1.75,-16.27,0.205,0.0219
2.0,-15.1,0.1701,0.2375
2.25,-16.62,0.2522,0.0744
2.5,-15.93,0.3129,0.1775
2.75,-16.48,0.298,0.38
