t_rel_to_onset,rms_db,stereo_width,low_mid_ratio
-3.0,-16.47,0.2516,0.0973
-2.75,-18.12,0.2648,0.1965
-2.5,-17.7,0.274,0.442
-2.25,-19.15,0.3314,0.1679
-2.0,-17.56,0.1801,0.163
-1.75,-18.49,0.2813,0.0729
-1.5,-18.46,0.2244,0.0667
-1.25,-18.7,0.1829,0.1005
-1.0,-18.07,0.212,0.1738
-0.75,-18.78,0.3093,0.1451
-0.5,-17.76,0.2569,0.0177
-0.25,-17.62,0.2356,0.2442
0.0,-18.25,0.2677,0.0542
0.25,-17.75,0.4301,0.099
0.5,-17.33,0.3058,0.0287
0.75,-17.65,0.3304,0.0693
1.0,-18.3,0.5511,0.0613
1.25,-18.9,0.5539,0.1325
1.5,-17.72,0.4317,0.2457
1.75,-18.69,0.671,0.0392
2.0,-19.45,0.7056,0.3826
2.25,-18.71,0.308,0.4917
2.5,-19.66,0.6118,0.235
2.75,-20.21,0.5166,0.0975
