t_rel_to_onset,rms_db,stereo_width,low_mid_ratio
-3.0,-16.6,0.9336,0.4298
-2.75,-16.47,0.8045,0.1872
-2.5,-16.1,0.616,0.1675
-2.25,-13.53,0.1797,0.1655
-2.0,-14.22,0.2768,0.2866
-1.75,-13.27,0.248,0.0794
-1.5,-14.23,0.2984,0.2481
-1.25,-14.88,0.231,0.3606
-1.0,-15.53,0.37,0.4521
-0.75,-15.48,0.3354,0.0993
-0.5,-15.79,0.2605,0.0706
-0.25,-15.69,0.317,0.1109
0.0,-16.4,0.3517,0.0987
0.25,-16.09,0.3102,0.0551
0.5,-14.92,0.268,0.1018
0.75,-15.59,0.3371,0.0761
1.0,-16.99,0.6329,0.133
1.25,-18.42,0.9266,0.2009
1.5,-16.68,0.5466,0.1432
1.75,-16.47,0.5452,0.1243
2.0,-16.08,0.4177,0.0721
2.25,-15.6,0.3934,0.0902
2.5,-17.0,0.5186,0.1109
2.75,-15.83,0.4187,0.1959
