t_rel_to_onset,rms_db,stereo_width,low_mid_ratio
-3.0,-14.56,0.2012,0.2976
-2.75,-9.78,0.0371,0.3624
-2.5,-15.19,0.173,0.5236
-2.25,-11.73,0.0918,0.5907
-2.0,-9.62,0.0421,0.139
-1.75,-17.99,0.3232,0.4216
-1.5,-10.29,0.0533,0.6662
-1.25,-14.17,0.2881,0.278
-1.0,-10.13,0.0985,0.4833
-0.75,-12.96,0.3997,0.3391
-0.5,-12.02,0.2817,0.2273
-0.25,-10.3,0.1513,0.0597
0.0,-13.13,0.6391,0.3808
0.25,-13.4,0.3293,0.5788
0.5,-15.69,0.5205,0.684
0.75,-9.76,0.0727,0.2919
1.0,-15.55,0.257,0.5026
1.25,-10.17,0.0594,0.2969
1.5,-12.56,0.0514,0.203
1.75,-9.9,0.0438,0.6159
2.0,-8.1,0.0111,0.8441
2.25,-7.2,0.0106,0.6803
2.5,-7.7,0.0234,0.1446
2.75,-7.64,0.0427,0.855
